,val-id,reaction
22,golden_dataset_45,[CH2:14]([CH2:15][CH2:16][O:17][N:18]=[O:19])[CH3:13].[CH:10]1=[C:11]2[C:6](=[CH:7][CH:8]=[CH:9]1)[CH:5]=[CH:4][S:12]2.[CH3:1][C:2]#[N:3]>>[CH:4]1=[C:5]([C:1](=[N:18][OH:19])[C:2]#[N:3])[C:6]=2[CH:7]=[CH:8][CH:9]=[CH:10][C:11]=2[S:12]1
23,golden_dataset_53,[CH3:8][C:7]([CH3:9])([C:5]([O:4][CH2:3][CH3:2])=[O:6])[O:10][C:11]1=[CH:12][CH:13]=[C:14]([N:16]=[CH:17]1)[CH3:15].[OH2:1]>>[CH3:8][C:7]([CH3:9])([O:10][C:11]=1[CH:17]=[N:16][C:14]([CH3:15])=[CH:13][CH:12]=1)[C:5](=[O:6])[OH:1]
24,golden_dataset_56,[CH2:18]1[CH2:19][CH2:20][CH2:21][CH2:22][N:17]1[CH2:16][CH2:15][O:14][C:13]2=[CH:12][CH:11]=[C:10]([CH:24]=[CH:23]2)[C:8]([C:7]3=[C:25]([C:30]=4[C:36]([F:37])=[CH:35][CH:34]=[C:32]([CH:31]=4)[F:33])[CH:26]=[CH:27][C:28]=5[C:6]3=[CH:5][CH:4]=[C:3]([CH:29]=5)[O:2][CH3:1])=[O:9]>>[CH2:18]1[CH2:19][CH2:20][CH2:21][CH2:22][N:17]1[CH2:16][CH2:15][O:14][C:13]=2[CH:12]=[CH:11][C:10]([C:8]([C:7]=3[C:6]=4[C:28](=[CH:29][C:3](=[CH:4][CH:5]=4)[OH:2])[CH:27]=[CH:26][C:25]=3[C:30]5=[CH:31][C:32]([F:33])=[CH:34][CH:35]=[C:36]5[F:37])=[O:9])=[CH:24][CH:23]=2
25,golden_dataset_61,[CH2:30]([O:29][P:27]([O:32][CH2:33][CH3:34])([CH:26]=[CH:25][C:24]1=[CH:23][N:22]([C:35]2=[CH:36][CH:37]=[CH:38][CH:39]=[CH:40]2)[N:21]=[C:20]1[O:19][CH2:18][C:17]=3[CH:41]=[C:42]([O:43][CH3:44])[C:14](=[CH:15][CH:16]=3)[O:13][CH2:12][C:11]=4[N:10]=[C:9]([CH:8]=[CH:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])[O:47][C:45]=4[CH3:46])=[O:28])[CH3:31].[OH2:1]>>[O:29]([CH2:30][CH3:31])[P:27]([O:32][CH2:33][CH3:34])(=[O:28])[CH:26]=[CH:25][C:24]=1[C:20]([O:19][CH2:18][C:17]=2[CH:41]=[C:42]([O:43][CH3:44])[C:14]([O:13][CH2:12][C:11]=3[N:10]=[C:9]([CH:8]=[CH:7][C:5](=[O:6])[OH:1])[O:47][C:45]=3[CH3:46])=[CH:15][CH:16]=2)=[N:21][N:22]([C:35]4=[CH:36][CH:37]=[CH:38][CH:39]=[CH:40]4)[CH:23]=1
26,golden_dataset_64,[C:15]1=2[S:14][C:12]([CH3:13])=[N:11][C:10]1=[C:6]([N+:7]([O-:8])=[O:9])[CH:5]=[CH:4][C:3]=2[O:2][CH3:1]>>[CH:5]=1[CH:4]=[C:3]([C:15]2=[C:10]([N:11]=[C:12]([CH3:13])[S:14]2)[C:6]=1[N+:7]([O-:8])=[O:9])[OH:2]
27,golden_dataset_66,[CH3:1][C:2]([CH3:3])([CH3:4])[N:5]([CH2:6][C:7](=[O:8])[O-:9])[C:10](=[O:11])[C:12]=1[C:28]([C:27]2=[CH:26][CH:25]=[CH:24][C:22]([Cl:23])=[C:21]2[C:15]3([CH2:16][CH2:17][O:18][CH2:19][CH2:20]3)[C:13]=1[OH:14])=[O:29]>>[CH2:17]1[CH2:16][C:15]2([CH2:20][CH2:19][O:18]1)[C:21]=3[C:27](=[CH:26][CH:25]=[CH:24][C:22]=3[Cl:23])[C:28](=[O:29])[C:12]([C:10]([NH:5][CH2:6][C:7](=[O:8])[OH:9])=[O:11])=[C:13]2[OH:14]
28,golden_dataset_67,[CH2:18]1[CH2:19][N:20]([CH2:21][CH2:22][CH:17]1[NH:16][C:15]2=[N:14][CH:13]=[C:12]([C:10]([C:9]=3[C:7]([F:8])=[C:5]([CH:4]=[C:3]([C:30]=3[O:31][CH3:32])[O:2][CH3:1])[F:6])=[O:11])[C:28](=[N:27]2)[NH2:29])[S:23](=[O:25])(=[O:26])[CH3:24]>>[CH2:18]1[CH2:19][N:20]([CH2:21][CH2:22][CH:17]1[NH:16][C:15]=2[N:27]=[C:28]([C:12](=[CH:13][N:14]=2)[C:10](=[O:11])[C:9]=3[C:7]([F:8])=[C:5]([F:6])[CH:4]=[C:3]([C:30]=3[OH:31])[O:2][CH3:1])[NH2:29])[S:23](=[O:25])(=[O:26])[CH3:24]
29,golden_dataset_68,[CH3:10][Si:9]([CH3:11])([CH3:12])[C:8]=1[N:3]([C:4](=[N:5][C:6]=1[F:7])[C:13]=2[C:22]=3[CH:21]=[CH:20][CH:19]=[CH:18][C:17]=3[CH:16]=[CH:15][CH:14]=2)[CH2:2][CH3:1]>>[CH:14]1=[C:13]([C:22]=2[CH:21]=[CH:20][CH:19]=[CH:18][C:17]=2[CH:16]=[CH:15]1)[C:4]=3[N:3]([CH:8]=[C:6]([N:5]=3)[F:7])[CH2:2][CH3:1]
30,golden_dataset_69,[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([C:4](=[O:5])[O:3][CH3:2])[N:11]1[C:26]([CH:13]([N:14]2[C:18](=[O:19])[O:17][CH2:16][CH:15]2[C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)[CH:12]1[C:28]=4[CH:29]=[CH:30][CH:31]=[CH:32][C:33]=4[CH:34]=[CH2:35])=[O:27].[OH2:1]>>[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([C:4](=[O:5])[OH:1])[N:11]1[CH:12]([CH:13]([N:14]2[C:18](=[O:19])[O:17][CH2:16][CH:15]2[C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)[C:26]1=[O:27])[C:28]=4[CH:29]=[CH:30][CH:31]=[CH:32][C:33]=4[CH:34]=[CH2:35]
31,golden_dataset_70,[NH:2]([C:3]=1[CH:10]=[C:7]([C:6](=[CH:5][CH:4]=1)[C:11]=2[CH:12]=[CH:13][C:14]=3[C:18](=[N:17][O:16][N:15]=3)[CH:19]=2)[O:8][CH3:9])[CH3:1]>>[NH:2]([CH3:1])[C:3]1=[CH:4][CH:5]=[C:6]([C:7]([OH:8])=[CH:10]1)[C:11]=2[CH:12]=[CH:13][C:14]=3[C:18](=[N:17][O:16][N:15]=3)[CH:19]=2
32,golden_dataset_71,[CH2:21]([CH3:22])[O:20][P:18]([O:23][CH2:24][CH3:25])(=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][O:11][C:10]1=[CH:9][CH:8]=[C:7]([CH:27]=[CH:26]1)[C:5](=[O:6])[O:4][CH2:3][CH3:2].[OH2:1]>>[CH2:21]([CH3:22])[O:20][P:18]([O:23][CH2:24][CH3:25])(=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][O:11][C:10]1=[CH:9][CH:8]=[C:7]([C:5](=[O:6])[OH:1])[CH:27]=[CH:26]1
33,golden_dataset_77,[O:2]([CH3:1])[C:3]=1[CH:17]=[C:16]2[C:6]([NH:7][C:8]3=[C:15]2[C:13]([CH3:14])=[CH:12][CH:11]=[C:9]3[CH3:10])=[CH:5][CH:4]=1>>[C:8]12=[C:9]([CH3:10])[CH:11]=[CH:12][C:13]([CH3:14])=[C:15]1[C:16]3=[C:6]([NH:7]2)[CH:5]=[CH:4][C:3]([OH:2])=[CH:17]3
34,golden_dataset_79,[CH2:6]1[CH2:7][C:5]1([C:3](=[O:4])[O:2][CH3:1])[C:8]=2[CH:17]=[C:15]([C:12](=[C:10]([CH:9]=2)[F:11])[O:13][CH3:14])[F:16]>>[CH2:6]1[CH2:7][C:5]1([C:3](=[O:4])[O:2][CH3:1])[C:8]=2[CH:9]=[C:10]([C:12](=[C:15]([F:16])[CH:17]=2)[OH:13])[F:11]
35,golden_dataset_80,[CH2:7]1[CH2:6][N:5]([CH2:10][CH2:9][N:8]1[C:11]2=[CH:12][CH:13]=[C:14]([CH:17]=[CH:18]2)[O:15][CH3:16])[CH2:4][CH2:3][CH2:2][CH3:1]>>[CH2:7]1[CH2:6][N:5]([CH2:10][CH2:9][N:8]1[C:11]=2[CH:12]=[CH:13][C:14]([OH:15])=[CH:17][CH:18]=2)[CH2:4][CH2:3][CH2:2][CH3:1]
36,golden_dataset_83,[CH3:30][C:29]1([CH3:31])[CH2:28][CH:27]=[C:18]([C:16]2=[CH:17][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([CH:7]=[CH:8]3)[C:4](=[O:5])[O:3][CH3:2])=[CH:13][CH:14]=[C:15]12)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4.[OH2:1]>>[CH3:30][C:29]1([CH3:31])[C:15]=2[CH:14]=[CH:13][C:12]([CH:11]=[CH:10][C:9]3=[CH:32][CH:33]=[C:6]([C:4](=[O:5])[OH:1])[CH:7]=[CH:8]3)=[CH:17][C:16]=2[C:18](=[CH:27][CH2:28]1)[CH:19]=[CH:20][C:21]4=[CH:22][CH:23]=[CH:24][CH:25]=[CH:26]4
37,golden_dataset_84,[CH3:32][CH:31]([CH3:33])[C:11]=1[CH:10]=[C:9]([O:8][CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])[C:14](=[CH:13][CH:12]=1)[CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[C:21]2=[CH:22][C:23]([C:29]#[N:30])=[CH:24][CH:25]=[C:26]2[O:27][CH3:28].[OH2:1]>>[O:19]=[S:18](=[O:20])([NH:17][CH2:16][CH2:15][C:14]=1[CH:13]=[CH:12][C:11](=[CH:10][C:9]=1[O:8][CH2:7][C:5](=[O:6])[OH:1])[CH:31]([CH3:32])[CH3:33])[C:21]=2[CH:22]=[C:23]([CH:24]=[CH:25][C:26]=2[O:27][CH3:28])[C:29]#[N:30]
38,golden_dataset_86,[F:22][C:21]([F:24])([F:23])[C:16]=1[N:17]([C:19](=[O:20])[N:12]([C:13]([CH:15]=1)=[O:14])[C:11]=2[C:3]([O:2][CH3:1])=[C:4]([C:6]([Cl:7])=[CH:8][C:9]=2[F:10])[I:5])[CH3:18]>>[F:22][C:21]([F:24])([F:23])[C:16]1=[CH:15][C:13]([N:12]([C:19]([N:17]1[CH3:18])=[O:20])[C:11]2=[C:3]([OH:2])[C:4]([I:5])=[C:6]([Cl:7])[CH:8]=[C:9]2[F:10])=[O:14]
39,golden_dataset_87,[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4]([O:3][CH3:2])=[O:5].[OH2:1]>>[F:20][C:19]([F:21])([F:22])[C:18]1=[CH:17][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[CH:8][CH:7]=[C:6]1[C:4](=[O:5])[OH:1]
40,golden_dataset_89,[CH:9](=[CH:10][C:11]=1[CH:16]=[CH:15][CH:14]=[CH:13][CH:12]=1)[C:8]=2[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=2)[O:2][CH3:1]>>[CH:15]1=[CH:14][CH:13]=[CH:12][C:11]([CH:10]=[CH:9][C:8]=2[C:3]([OH:2])=[CH:4][CH:5]=[CH:6][CH:7]=2)=[CH:16]1
41,golden_dataset_101,[CH:13]=1[CH:12]=[C:11]2[CH2:10][CH2:9][C:8]([CH2:17][C:16]2=[CH:15][CH:14]=1)=[O:7].[CH3:1][O:2][C:3]([O:5][CH3:6])=[O:4]>>[C:11]12=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[CH:17]([C:3]([O:2][CH3:1])=[O:4])[C:8](=[O:7])[CH2:9][CH2:10]2
42,golden_dataset_115,[N+:13](=[N:1][CH2:4][CH2:5][N:6]1[C:10]([C:11](=[O:12])[O:2][CH3:3])=[C:9]([C:8]([C:23](=[O:24])[O:25][CH3:26])=[N:7]1)[O:15][CH2:16][C:17]=2[CH:22]=[CH:21][CH:20]=[CH:19][CH:18]=2)=[N-:14]>>[CH2:4]1[NH:1][C:11]([C:10]2=[C:9]([C:8](=[N:7][N:6]2[CH2:5]1)[C:23]([O:25][CH3:26])=[O:24])[O:15][CH2:16][C:17]3=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]3)=[O:12]
43,golden_dataset_118,[CH2:20]([CH:19]([C:17]([NH:16][CH:6]([C:4]([O:3][CH3:2])=[O:5])[CH2:7][S:8][CH2:9][C:10]=1[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=1)=[O:18])[CH2:38][C:39]=2[CH:44]=[CH:43][CH:42]=[CH:41][CH:40]=2)[CH:21]([CH2:22][C:23]3=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]3)[C:29]([NH:31][C:32]=4[N:37]=[CH:36][CH:35]=[CH:34][CH:33]=4)=[O:30].[OH2:1]>>[CH:21]([C:29]([NH:31][C:32]=1[N:37]=[CH:36][CH:35]=[CH:34][CH:33]=1)=[O:30])([CH2:20][CH:19]([CH2:38][C:39]2=[CH:40][CH:41]=[CH:42][CH:43]=[CH:44]2)[C:17](=[O:18])[NH:16][CH:6]([CH2:7][S:8][CH2:9][C:10]=3[CH:15]=[CH:14][CH:13]=[CH:12][CH:11]=3)[C:4]([OH:1])=[O:5])[CH2:22][C:23]4=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]4
44,golden_dataset_119,[OH2:1].[OH:22][P:21]([OH:23])([CH2:20][C:19]=1[C:10](=[N:11][C:12]=2[CH:13]=[CH:14][CH:15]=[CH:16][C:17]=2[N:18]=1)[CH2:9][CH:7]([C:5]([O:4][CH2:3][CH3:2])=[O:6])[NH2:8])=[O:24]>>[OH:22][P:21]([OH:23])([CH2:20][C:19]=1[C:10](=[N:11][C:12]=2[CH:13]=[CH:14][CH:15]=[CH:16][C:17]=2[N:18]=1)[CH2:9][CH:7]([C:5]([OH:1])=[O:6])[NH2:8])=[O:24]
